State, County,City,Wikipedia_URL
Alabama,Henry County,Abbeville,http://www.cityofabbeville.org/
Alabama,Henry County,Henry  County,http://www.henrycountyal.com/
Alabama,Jefferson County,Adamsville,http://www.cityofadamsville.org/
Alabama,Jefferson County,Jefferson  County,http://jeffconline.jccal.org/
Alabama,Winston County,Addison,http://town-of-addison.com/
Alabama,Winston County,Winston  County,http://www.winstoncountyalabama.org/
Alabama,Hale County,Hale  County,http://www.halecountyal.com
Alabama,Shelby County,Alabaster,http://www.cityofalabaster.com
Alabama,Shelby County,Shelby  County,http://www.shelbycountyalabama.com
Alabama,Marshall County,Albertville,http://www.cityofalbertville.com
Alabama,Marshall County,Marshall  County,http://www.marshallco.org
Alabama,Tallapoosa County,Alexander City,https://alexandercityal.gov/
Alabama,Tallapoosa County,Tallapoosa  County,http://www.tallaco.com/
Alabama,Pickens County,Aliceville,https://www.thecityofaliceville.com/
Alabama,Pickens County,Pickens  County,http://www.pickenscountyal.com/
Alabama,Blount County,Blount  County,http://www.blountcountyal.gov
Alabama,Etowah County,Etowah  County,http://www.etowahcounty.org
Alabama,Etowah County,Blount  County,http://www.blountcountyal.gov
Alabama,Covington County,Andalusia,http://www.cityofandalusia.com
Alabama,Covington County,Covington  County,http://www.covcounty.com
Alabama,Lauderdale County,Lauderdale  County,https://lauderdalecountyal.gov/
Alabama,Calhoun County,Anniston,http://www.annistonal.gov
Alabama,Calhoun County,Calhoun  County,http://www.calhouncounty.org
Alabama,Marshall County,Arab,http://www.arabcity.org
Alabama,Marshall County,Cullman  County,http://www.co.cullman.al.us
Alabama,Limestone County,Ardmore,http://www.townofardmorealabama.com/
Alabama,Limestone County,Limestone  County,http://limestonecounty-al.gov/
Alabama,St.Clair County,Argo,http://www.cityofargo.org/
Alabama,St.Clair County,St. Clair  County,http://www.stclairco.com
Alabama,St.Clair County,Jefferson  County,http://jeffconline.jccal.org/
Alabama,Dale County,Dale  County,http://www.dalecountyal.org
Alabama,Houston County,Ashford,http://www.cityofashford.com/
Alabama,Houston County,Houston  County,https://houstoncountyal.gov/
Alabama,Clay County,Ashland,http://www.cityofashland.net/
Alabama,Clay County,Clay  County,https://alabamaclaycounty.com/
Alabama,St.Clair County,Ashville,http://www.cityofashville.org/
Alabama,Limestone County,Athens,http://www.athensal.us/
Alabama,Escambia County,Atmore,https://cityofatmore.com/
Alabama,Escambia County,Escambia  County,http://www.co.escambia.al.us
Alabama,Etowah County,Attalla,http://www.attallacity.com
Alabama,Lee County,Auburn,http://www.auburnalabama.org/
Alabama,Lee County,Lee  County,http://www.leeco.us
Alabama,Autauga County,Autauga  County,http://www.autaugaco.org
Alabama,Cullman County,Cullman  County,http://www.co.cullman.al.us
Alabama,Pike County,Pike  County,http://www.alabamagis.com/Pike/
Alabama,Baldwin County,Bay Minette,http://www.cityofbayminette.org
Alabama,Baldwin County,Baldwin  County,https://baldwincountyal.gov/
Alabama,Mobile County,Bayou La Batre,http://cityofbayoulabatre.com
Alabama,Mobile County,Mobile  County,http://Mobile CountyAL.gov
Alabama,Marion County,Marion  County,http://marioncountyalabama.org/
Alabama,Monroe County,Monroe  County,http://www.monroecountyal.com
Alabama,Lamar County,Lamar  County,http://www.lamarcounty.us/
Alabama,Fayette County,Berry,http://townofberryalabama.org
Alabama,Jefferson County,Bessemer,https://www.bessemeral.org/
Alabama,Jefferson County,Birmingham,https://www.birminghamal.gov/
Alabama,Jefferson County,Shelby  County,http://www.shelbycountyalabama.com
Alabama,Geneva County,Geneva  County,http://www.genevacounty.us/
Alabama,Blount County,Blountsville,https://blountsvilleal.com/
Alabama,Marshall County,Boaz,http://www.cityofboaz.org
Alabama,Marshall County,Etowah  County,http://www.etowahcounty.org
Alabama,Talladega County,Talladega  County,http://www.talladegacountyal.org/
Alabama,Crenshaw County,Brantley,https://www.townofbrantley.net/
Alabama,Crenshaw County,Crenshaw  County,http://www.crenshawcountyalonline.com
Alabama,Bibb County,Brent,http://www.cityofbrentalabama.com
Alabama,Bibb County,Bibb  County,http://www.bibbal.com
Alabama,Escambia County,Brewton,http://www.cityofbrewton.org/
Alabama,Jackson County,Jackson  County,http://www.jacksoncountyal.gov/
Alabama,Marion County,Brilliant,http://www.brilliantal.org
Alabama,Jefferson County,Brookside,https://www.brooksidealabama.com/
Alabama,Tuscaloosa County,Brookwood,http://www.brookwoodalabama.com/
Alabama,Tuscaloosa County,Tuscaloosa  County,http://www.tuscco.com
Alabama,Pike County,Brundidge,http://www.brundidge.org/
Alabama,Choctaw County,Butler,https://www.butleralabama.org/
Alabama,Chilton County,Calera,http://www.cityofcalera.org
Alabama,Chilton County,Shelby  County,http://www.shelbycountyalabama.com
Alabama,Chilton County,Chilton  County,http://chiltoncounty.org
Alabama,Walker County,Carbon Hill,https://carbonhill.org/
Alabama,Walker County,Walker  County,http://www.walkercounty.com
Alabama,Cherokee County,Cedar Bluff,http://www.cedarbluff-al.org
Alabama,Cherokee County,Cherokee  County,http://www.cherokeecounty-al.gov
Alabama,Jefferson County,Center Point,https://www.cityofcenterpoint.org/
Alabama,Cherokee County,Centre,http://www.cityofcentre.com
Alabama,Bibb County,Centreville,https://cityofcentreville.com/
Alabama,Washington County,Chatom,http://www.chatom.org/
Alabama,Shelby County,Chelsea,http://www.cityofchelsea.com
Alabama,Colbert County,Colbert  County,http://www.colbertcounty.org/
Alabama,Mobile County,Chickasaw,http://www.cityofchickasaw.org
Alabama,Talladega County,Childersburg,http://www.childersburg.org
Alabama,Talladega County,Shelby  County,http://www.shelbycountyalabama.com
Alabama,Mobile County,Citronelle,http://www.cityofcitronelle.com
Alabama,Chilton County,Clanton,http://www.clanton.al.us
Alabama,Jefferson County,Clay,http://www.clayalabama.org/
Alabama,Tuscaloosa County,Coaling,http://coalingalabama.com/
Alabama,Clarke County,Clarke  County,http://www.clarkecountyal.com
Alabama,Tuscaloosa County,Coker,http://townofcoker.com/
Alabama,DeKalb County,Collinsville,http://www.collinsvillealabama.net
Alabama,DeKalb County,DeKalb  County,http://www.dekalbcountyal.us
Alabama,DeKalb County,Cherokee  County,http://www.cherokeecounty-al.gov
Alabama,Shelby County,Columbiana,https://cityofcolumbiana.com/
Alabama,Elmore County,Coosada,https://townofcoosada.com/
Alabama,Elmore County,Elmore  County,http://www.elmoreco.org
Alabama,Houston County,Cottonwood,http://www.cottonwoodalabama.com
Alabama,Blount County, County Line,http://mycountyline.org/
Alabama,Blount County,Jefferson  County,http://jeffconline.jccal.org/
Alabama,Lawrence County,Lawrence  County,http://www.lawrencealabama.com
Alabama,Mobile County,Creola,http://www.cityofcreola.org
Alabama,DeKalb County,Crossville,http://www.crossvillealabama.com
Alabama,Sumter County,Sumter  County,http://sumtercountyal.com/
Alabama,Cullman County,Cullman,https://cullmanal.gov/
Alabama,Chambers County,Chambers  County,http://www.chamberscountyal.gov
Alabama,Tallapoosa County,Dadeville,http://www.cityofdadevilleal.org
Alabama,Dale County,Daleville,http://dalevilleal.com
Alabama,Baldwin County,Daphne,http://www.daphneal.com/
Alabama,Mobile County,Dauphin Island,http://www.townofDauphinIsland.org
Alabama,Marengo County,Marengo  County,http://marengocountyal.com/
Alabama,Morgan County,Decatur,http://www.decaturalabamausa.com
Alabama,Morgan County,Morgan  County,http://www.co.morgan.al.us
Alabama,Morgan County,Limestone  County,http://limestonecounty-al.gov/
Alabama,Marengo County,Demopolis,http://www.demopolisal.gov
Alabama,Cullman County,Dodge City,http://dodgecitytown.com
Alabama,Walker County,Dora,http://www.cityofdora.com/
Alabama,Houston County,Dothan,http://www.dothan.org
Alabama,Houston County,Dale  County,http://www.dalecountyal.org
Alabama,Houston County,Henry  County,http://www.henrycountyal.com/
Alabama,Winston County,Double Springs,http://www.townofdoublesprings.com/
Alabama,Blount County,Douglas,http://www.douglasal.com
Alabama,Blount County,Marshall  County,http://www.marshallco.org
Alabama,Escambia County,East Brewton,http://eastbrewton.org
Alabama,Elmore County,Eclectic,http://www.townofeclectic.com
Alabama,Cleburne County,Cleburne  County,http://www.cleburnecounty.us
Alabama,Coffee County,Elba,https://www.elbaal.gov
Alabama,Coffee County,Coffee  County,http://www.coffeecounty.us
Alabama,Baldwin County,Elberta,https://townofelberta.com/
Alabama,Elmore County,Elmore,http://townofelmore.com
Alabama,Coffee County,Enterprise,https://www.enterpriseal.gov/
Alabama,Coffee County,Dale  County,http://www.dalecountyal.org
Alabama,Sumter County,Epes,http://www.cityofepesalabama.com/
Alabama,Barbour County,Eufaula,http://www.eufaulaalabama.com/
Alabama,Conecuh County,Evergreen,http://www.evergreenal.org
Alabama,Jefferson County,Fairfield,https://fairfieldal.org/
Alabama,Baldwin County,Fairhope,http://www.cofairhope.com
Alabama,Morgan County,Falkville,http://www.falkville.org
Alabama,Fayette County,Fayette,http://fayetteal.org
Alabama,Lauderdale County,Florence,http://www.florenceal.org/
Alabama,Baldwin County,Foley,http://www.cityoffoley.org
Alabama,DeKalb County,Fort Payne,http://www.fortpayne.org
Alabama,Macon County,Macon  County,https://www.maconalabama.com/
Alabama,Jefferson County,Fultondale,http://www.cityoffultondale.com
Alabama,DeKalb County,Fyffe,http://www.fyffecitylimits.com
Alabama,Etowah County,Gadsden,http://www.cityofgadsden.com
Alabama,Covington County,Gantt,https://www.townofgantt.com
Alabama,Cullman County,Blount  County,http://www.blountcountyal.gov
Alabama,Jefferson County,Gardendale,http://www.cityofgardendale.com/
Alabama,Geneva County,Geneva,http://www.cityofgeneva.com/
Alabama,Butler County,Butler  County,http://butlercountyal.com/
Alabama,DeKalb County,Geraldine,http://www.geraldinealabama.com/
Alabama,Fayette County,Glen Allen,http://townofglenallen.org
Alabama,Fayette County,Marion  County,http://marioncountyalabama.org/
Alabama,Etowah County,Glencoe,http://www.cityofglencoe.org
Alabama,Etowah County,Calhoun  County,http://www.calhouncounty.org
Alabama,Cullman County,Good Hope,http://goodhopeal.com
Alabama,Coosa County,Goodwater,http://www.cityofgoodwater.com
Alabama,Coosa County,Coosa  County,http://www.coosacountyal.com/
Alabama,Pickens County,Gordo,http://www.townofgordo.org/
Alabama,Marshall County,Grant,http://www.grantal.org
Alabama,Jefferson County,Graysville,http://www.graysvillecity.com
Alabama,Butler County,Greenville,https://greenvilleal.gov/
Alabama,Clarke County,Grove Hill,http://grovehillalabama.com
Alabama,Marion County,Guin,http://www.guinal.org
Alabama,Baldwin County,Gulf Shores,http://www.gulfshoresal.gov
Alabama,Marshall County,Guntersville,http://guntersvilleal.org
Alabama,Madison County,Gurley,http://www.townofgurleyal.com
Alabama,Madison County,Madison  County,https://www.madisoncountyal.gov
Alabama,Marion County,Hackleburg,http://townofhackleburg.com
Alabama,Winston County,Haleyville,http://www.cityofhaleyville.com
Alabama,Winston County,Marion  County,http://marioncountyalabama.org/
Alabama,Marion County,Hamilton,http://hamiltoncityal.org
Alabama,Cullman County,Hanceville,http://cityofhanceville.net
Alabama,Shelby County,Harpersville,https://www.harpersvilleal.gov/
Alabama,Geneva County,Hartford,http://cityofhartfordal.org/
Alabama,Morgan County,Hartselle,http://www.hartselle.org
Alabama,Blount County,Hayden,http://www.townofhayden.com
Alabama,Henry County,Headland,http://www.headlandalabama.org
Alabama,Cleburne County,Heflin,http://www.cityofheflin.org/
Alabama,Shelby County,Helena,http://www.cityofhelena.org/
Alabama,Shelby County,Jefferson  County,http://jeffconline.jccal.org/
Alabama,DeKalb County,Henagar,http://www.cityofhenagar.com
Alabama,Blount County,Highland Lake,http://townofhighlandlake.com
Alabama,Calhoun County,Hobson City,http://www.townofhobsoncity.com/
Alabama,Franklin County,Hodges,http://hodgesal.com
Alabama,Franklin County,Franklin  County,http://www.franklincountyal.org
Alabama,Etowah County,Hokes Bluff,http://www.cityofhokesbluff.com
Alabama,Jackson County,Hollywood,http://thetownofhollywood.com/
Alabama,Jefferson County,Homewood,http://www.homewoodal.net
Alabama,Jefferson County,Hoover,https://hooveralabama.gov
Alabama,Jefferson County,Hueytown,http://hueytownal.org/
Alabama,Madison County,Huntsville,https://www.huntsvilleal.gov/
Alabama,Madison County,Limestone  County,http://limestonecounty-al.gov/
Alabama,Madison County,Morgan  County,http://www.co.morgan.al.us
Alabama,Russell County,Hurtsboro,http://www.hurtsboro.us/
Alabama,Russell County,Russell  County,http://www.rcala.com
Alabama,Shelby County,Indian Springs Village,http://www.indianspringsvillage.org/
Alabama,Jefferson County,Irondale,https://cityofirondaleal.gov/
Alabama,Clarke County,Jackson,http://cityofjacksonal.com
Alabama,Calhoun County,Jacksonville,http://www.jacksonville-al.org
Alabama,Walker County,Jasper,http://www.jaspercity.com/
Alabama,Chilton County,Jemison,http://www.jemisonalabama.org
Alabama,Lauderdale County,Killen,http://www.killenal.org/
Alabama,Jefferson County,Kimberly,http://www.kimberlyal.org/
Alabama,Houston County,Kinsey,http://kinseyalabama.org/
Alabama,Coffee County,Kinston,https://www.kinstonal.com/
Alabama,Chambers County,LaFayette,https://cityoflafayetteal.com/
Alabama,Tuscaloosa County,Lake View,https://lakeviewalabama.gov/
Alabama,Chambers County,Lanett,http://www.cityoflanett.com
Alabama,Jefferson County,Leeds,http://leedsalabama.org
Alabama,Jefferson County,St. Clair  County,http://www.stclairco.com
Alabama,Cherokee County,Leesburg,http://www.leesburgal.com
Alabama,Lauderdale County,Lexington,http://lexingtonal.org
Alabama,Talladega County,Lincoln,http://www.lincolnalabama.com/
Alabama,Marengo County,Linden,http://www.lindenalabama.net
Alabama,Clay County,Lineville,http://www.cityoflineville.com
Alabama,Sumter County,Livingston,https://www.cityoflivingstonal.com/
Alabama,Blount County,Locust Fork,http://www.locustfork.com
Alabama,Lowndes County,Lowndesboro,https://www.townoflowndesboro.org/
Alabama,Baldwin County,Loxley,http://www.townofloxley.org
Alabama,Crenshaw County,Luverne,http://www.luverne.org
Alabama,Madison County,Madison,http://www.madisonal.gov
Alabama,Baldwin County,Magnolia Springs,http://www.townofmagnoliasprings.org
Alabama,Chilton County,Maplesville,http://www.townofmaplesville.com
Alabama,Perry County,Marion,https://www.discovermarion.org
Alabama,Perry County,Perry  County,http://www.perrysheriff.com
Alabama,Washington County,McIntosh,https://mcintoshal.com/
Alabama,Jefferson County,Midfield,http://www.cityofmidfield.com/
Alabama,Bullock County,Bullock  County,http://bullockcountyalrev.com/
Alabama,Autauga County,Millbrook,http://www.cityofmillbrook.org/
Alabama,Autauga County,Elmore  County,http://www.elmoreco.org
Alabama,Mobile County,Mobile,http://www.cityofmobile.org
Alabama,Monroe County,Monroeville,https://www.monroevilleal.gov/
Alabama,Shelby County,Montevallo,http://www.cityofmontevallo.com/
Alabama,Montgomery County,Montgomery,http://montgomeryal.gov
Alabama,Montgomery County,Montgomery  County,http://www.mc-ala.org
Alabama,St.Clair County,Moody,https://www.moodyalabama.gov/
Alabama,Limestone County,Mooresville,http://www.mooresvilleal.com/
Alabama,Jefferson County,Morris,http://www.morrisal.us/
Alabama,Lawrence County,Moulton,https://cityofmoultonal.com/
Alabama,Hale County,Moundville,http://www.moundvillealabama.com
Alabama,Hale County,Tuscaloosa  County,http://www.tuscco.com
Alabama,Mobile County,Mount Vernon,http://www.mtvernonal.com
Alabama,Jefferson County,Mountain Brook,http://www.mtnbrook.org/
Alabama,Colbert County,Muscle Shoals,http://www.cityofmuscleshoals.com
Alabama,Dale County,Napier Field,http://www.napierfield.com
Alabama,Winston County,Natural Bridge,http://www.naturalbridgeala.com
Alabama,Walker County,Winston  County,http://www.winstoncountyalabama.org/
Alabama,Madison County,New Hope,http://www.cityofnewhope.org
Alabama,Tallapoosa County,New Site,https://townofnewsite.com/
Alabama,Tuscaloosa County,Northport,http://www.cityofnorthport.org/
Alabama,Macon County,Notasulga,http://www.notasulgaal.com
Alabama,Macon County,Lee  County,http://www.leeco.us
Alabama,Talladega County,Oak Grove,http://www.townofoakgrove.org
Alabama,Wilcox County,Oak Hill,http://oakhillal.com/
Alabama,St.Clair County,Odenville,https://www.cityofodenville.net/
Alabama,Calhoun County,Ohatchee,http://www.ohatchee.info
Alabama,Blount County,Oneonta,http://www.cityofoneonta.us
Alabama,Lee County,Opelika,http://www.opelika-al.gov
Alabama,Covington County,Opp,http://www.cityofopp.com
